Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
IndiGo,12-05-2019,Chennai,Kolkata,MAA ? CCU,05:15,07:40,2h 25m,non-stop,No info,3540
Air India,21-05-2019,Kolkata,Banglore,CCU ? BBI ? BOM ? BLR,12:00,22-05-2023 11:10,23h 10m,2 stops,No info,10676
Jet Airways,12-06-2019,Kolkata,Banglore,CCU ? BOM ? BLR,14:05,13-06-2023 08:15,18h 10m,1 stop,No info,13044
Jet Airways,06-05-2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,07-05-2023 12:00,16h,1 stop,No info,14388
IndiGo,24-06-2019,Banglore,Delhi,BLR ? DEL,04:00,06:50,2h 50m,non-stop,No info,3943
IndiGo,03-06-2019,Chennai,Kolkata,MAA ? CCU,14:45,17:05,2h 20m,non-stop,No info,3597
Air India,21-03-2019,Banglore,New Delhi,BLR ? MAA ? DEL,11:50,19:50,8h,1 stop,No info,5932
Jet Airways,15-06-2019,Delhi,Cochin,DEL ? BOM ? COK,11:30,16-06-2023 04:25,16h 55m,1 stop,In-flight meal not included,10262
Vistara,12-05-2019,Delhi,Cochin,DEL ? COK,14:40,17:50,3h 10m,non-stop,No info,6216
IndiGo,15-06-2019,Kolkata,Banglore,CCU ? BLR,20:25,23:10,2h 45m,non-stop,No info,4804
Multiple carriers,21-05-2019,Delhi,Cochin,DEL ? BOM ? COK,11:30,22-05-2023 01:30,14h,1 stop,No info,14067
Jet Airways,18-05-2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,19:10,19-05-2023 19:00,23h 50m,2 stops,No info,15129
Jet Airways,06-06-2019,Delhi,Cochin,DEL ? NAG ? BOM ? COK,06:45,07-06-2023 04:25,21h 40m,2 stops,No info,13376
Air India,27-06-2019,Delhi,Cochin,DEL ? GOI ? BOM ? COK,22:00,28-06-2023 19:15,21h 15m,2 stops,No info,10441
Jet Airways,24-05-2019,Banglore,Delhi,BLR ? DEL,06:00,08:45,2h 45m,non-stop,In-flight meal not included,4030
Jet Airways,03-03-2019,Delhi,Cochin,DEL ? BOM ? COK,08:00,18:50,10h 50m,1 stop,No info,17024
Multiple carriers,09-04-2019,Delhi,Cochin,DEL ? BOM ? COK,17:30,10-04-2023 01:30,8h,1 stop,No info,13017
GoAir,06-06-2019,Kolkata,Banglore,CCU ? BOM ? BLR,23:30,07-06-2023 07:45,8h 15m,1 stop,No info,6686
IndiGo,15-06-2019,Delhi,Cochin,DEL ? MAA ? COK,02:00,07:25,5h 25m,1 stop,No info,5636
IndiGo,09-06-2019,Delhi,Cochin,DEL ? HYD ? COK,07:35,16:10,8h 35m,1 stop,No info,6442
Multiple carriers,21-05-2019,Delhi,Cochin,DEL ? HYD ? COK,13:05,22-05-2023 00:55,11h 50m,1 stop,No info,9486
Jet Airways,21-05-2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,22-05-2023 23:35,27h 35m,1 stop,In-flight meal not included,10844
Jet Airways,03-06-2019,Delhi,Cochin,DEL ? ATQ ? BOM ? COK,20:00,04-06-2023 04:25,8h 25m,2 stops,In-flight meal not included,15318
Air India,03-04-2019,Delhi,Cochin,DEL ? MAA ? COK,12:30,04-04-2023 09:25,20h 55m,1 stop,No info,5117
IndiGo,24-06-2019,Delhi,Cochin,DEL ? BLR ? COK,15:10,20:00,4h 50m,1 stop,No info,6147
Multiple carriers,09-06-2019,Delhi,Cochin,DEL ? BOM ? COK,12:50,21:00,8h 10m,1 stop,No info,7005
SpiceJet,03-04-2019,Kolkata,Banglore,CCU ? BLR,22:20,04-04-2023 00:40,2h 20m,non-stop,No info,3873
Jet Airways,21-03-2019,Delhi,Cochin,DEL ? BDQ ? BOM ? COK,18:25,22-03-2023 18:50,24h 25m,2 stops,In-flight meal not included,9270
GoAir,27-06-2019,Banglore,Delhi,BLR ? DEL,11:40,14:30,2h 50m,non-stop,No info,3898
Jet Airways,12-05-2019,Kolkata,Banglore,CCU ? BOM ? BLR,08:25,20:45,12h 20m,1 stop,No info,14781
Jet Airways,24-05-2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,25-05-2023 08:15,12h 15m,1 stop,In-flight meal not included,8586
Air India,09-05-2019,Kolkata,Banglore,CCU ? JAI ? BOM ? BLR,08:20,10-05-2023 07:55,23h 35m,2 stops,No info,10697
Jet Airways,27-06-2019,Delhi,Cochin,DEL ? ATQ ? BOM ? COK,20:00,28-06-2023 12:35,16h 35m,2 stops,No info,14300
IndiGo,03-03-2019,Banglore,New Delhi,BLR ? DEL,18:55,21:45,2h 50m,non-stop,No info,8855
Jet Airways,12-05-2019,Kolkata,Banglore,CCU ? BOM ? BLR,16:30,13-05-2023 18:15,25h 45m,1 stop,In-flight meal not included,10844
Jet Airways,06-03-2019,Delhi,Cochin,DEL ? BOM ? COK,02:15,07-03-2023 04:25,26h 10m,1 stop,No info,17024
Jet Airways,01-05-2019,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,02-05-2023 14:25,28h 50m,1 stop,In-flight meal not included,9314
IndiGo,24-03-2019,Banglore,New Delhi,BLR ? DEL,00:40,03:25,2h 45m,non-stop,No info,4777
Air India,09-06-2019,Kolkata,Banglore,CCU ? BBI ? BLR,12:00,10-06-2023 13:15,25h 15m,1 stop,No info,7662
IndiGo,09-05-2019,Delhi,Cochin,DEL ? HYD ? COK,06:50,16:10,9h 20m,1 stop,No info,6442
SpiceJet,12-06-2019,Delhi,Cochin,DEL ? PNQ ? COK,08:45,13:15,4h 30m,1 stop,No info,5264
Jet Airways,27-05-2019,Delhi,Cochin,DEL ? BOM ? COK,13:00,28-05-2023 04:25,15h 25m,1 stop,In-flight meal not included,12898
Air India,03-03-2019,Mumbai,Hyderabad,BOM ? HYD,13:55,15:25,1h 30m,non-stop,No info,6092
SpiceJet,21-05-2019,Banglore,Delhi,BLR ? DEL,05:55,08:35,2h 40m,non-stop,No info,3311
Jet Airways,27-03-2019,Delhi,Cochin,DEL ? BOM ? COK,19:15,28-03-2023 04:25,9h 10m,1 stop,In-flight meal not included,6540
IndiGo,27-05-2019,Banglore,Delhi,BLR ? DEL,01:30,04:15,2h 45m,non-stop,No info,3419
Jet Airways,03-04-2019,Delhi,Cochin,DEL ? BOM ? COK,14:00,04-04-2023 12:35,22h 35m,1 stop,In-flight meal not included,5177
Air India,18-04-2019,Delhi,Cochin,DEL ? COK,18:05,21:10,3h 5m,non-stop,No info,8246
Jet Airways,09-06-2019,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,21:05,11h 30m,1 stop,No info,14676
Multiple carriers,27-06-2019,Delhi,Cochin,DEL ? BOM ? COK,11:30,21:00,9h 30m,1 stop,No info,13587
Jet Airways,06-05-2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,07-05-2023 09:20,12h 10m,1 stop,In-flight meal not included,9663
Jet Airways,12-06-2019,Kolkata,Banglore,CCU ? BOM ? BLR,16:30,13-06-2023 10:05,17h 35m,1 stop,No info,13044
IndiGo,03-04-2019,Delhi,Cochin,DEL ? BOM ? COK,20:25,04-04-2023 01:30,5h 5m,1 stop,No info,5073
Vistara,21-05-2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,22-05-2023 18:50,25h 50m,1 stop,No info,9345
Jet Airways,06-05-2019,Kolkata,Banglore,CCU ? BOM ? BLR,14:05,07-05-2023 10:05,20h,1 stop,In-flight meal not included,9663
Multiple carriers,21-05-2019,Delhi,Cochin,DEL ? BOM ? COK,08:00,21:00,13h,1 stop,No info,14277
Jet Airways,01-06-2019,Delhi,Cochin,DEL ? BOM ? COK,10:00,02-06-2023 04:25,18h 25m,1 stop,In-flight meal not included,10262
Jet Airways,27-03-2019,Mumbai,Hyderabad,BOM ? HYD,19:35,21:05,1h 30m,non-stop,No info,5678
Multiple carriers,15-05-2019,Delhi,Cochin,DEL ? BOM ? COK,16:00,16-05-2023 01:30,9h 30m,1 stop,No info,13727
Jet Airways,06-05-2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,07-05-2023 12:00,16h,1 stop,In-flight meal not included,9663
IndiGo,12-05-2019,Chennai,Kolkata,MAA ? CCU,14:45,17:05,2h 20m,non-stop,No info,3858
SpiceJet,24-06-2019,Delhi,Cochin,DEL ? PNQ ? COK,08:45,13:15,4h 30m,1 stop,No info,4812
IndiGo,27-06-2019,Delhi,Cochin,DEL ? LKO ? COK,21:50,28-06-2023 03:35,5h 45m,1 stop,No info,5775
Jet Airways,06-06-2019,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,07-06-2023 09:45,24h 10m,1 stop,In-flight meal not included,10539
IndiGo,03-06-2019,Kolkata,Banglore,CCU ? BLR,15:30,18:05,2h 35m,non-stop,No info,4804
Air Asia,12-06-2019,Banglore,Delhi,BLR ? DEL,11:10,13:55,2h 45m,non-stop,No info,3383
IndiGo,03-03-2019,Banglore,New Delhi,BLR ? HYD ? DEL,12:10,17:05,4h 55m,1 stop,No info,8738
Air India,27-03-2019,Delhi,Cochin,DEL ? TRV ? COK,05:15,28-03-2023 06:50,25h 35m,1 stop,No info,7165
IndiGo,24-06-2019,Delhi,Cochin,DEL ? HYD ? COK,16:10,22:30,6h 20m,1 stop,No info,6412
Jet Airways,27-06-2019,Banglore,Delhi,BLR ? DEL,18:55,22:00,3h 5m,non-stop,No info,8016
Jet Airways,12-03-2019,Banglore,New Delhi,BLR ? BOM ? DEL,20:35,13-03-2023 15:15,18h 40m,1 stop,In-flight meal not included,11087
SpiceJet,27-06-2019,Chennai,Kolkata,MAA ? CCU,09:45,12:00,2h 15m,non-stop,No check-in baggage included,3543
Jet Airways,12-06-2019,Kolkata,Banglore,CCU ? BOM ? BLR,16:30,13-06-2023 04:40,12h 10m,1 stop,No info,12471
Jet Airways,24-06-2019,Delhi,Cochin,DEL ? BOM ? COK,09:00,25-06-2023 04:25,19h 25m,1 stop,In-flight meal not included,10262
Air India,18-03-2019,Banglore,New Delhi,BLR ? DEL,13:20,16:10,2h 50m,non-stop,No info,4441
Multiple carriers,27-03-2019,Delhi,Cochin,DEL ? BOM ? COK,07:05,15:30,8h 25m,1 stop,No info,12537
GoAir,24-03-2019,Kolkata,Banglore,CCU ? BOM ? BLR,22:25,25-03-2023 07:40,9h 15m,1 stop,No info,10091
Air India,03-06-2019,Banglore,Delhi,BLR ? DEL,21:05,23:55,2h 50m,non-stop,No info,6961
IndiGo,24-04-2019,Delhi,Cochin,DEL ? COK,05:35,08:50,3h 15m,non-stop,No info,5013
Air India,18-05-2019,Delhi,Cochin,DEL ? COK,05:10,08:00,2h 50m,non-stop,No info,6934
Multiple carriers,03-06-2019,Delhi,Cochin,DEL ? BOM ? COK,06:40,19:00,12h 20m,1 stop,No info,10877
Jet Airways,18-04-2019,Banglore,Delhi,BLR ? DEL,15:15,18:10,2h 55m,non-stop,No info,7229
IndiGo,27-03-2019,Delhi,Cochin,DEL ? BOM ? COK,16:00,28-03-2023 01:35,9h 35m,1 stop,No info,7048
Vistara,27-06-2019,Banglore,Delhi,BLR ? DEL,17:00,19:35,2h 35m,non-stop,No info,4878
Jet Airways,21-05-2019,Kolkata,Banglore,CCU ? BOM ? BLR,14:05,23:35,9h 30m,1 stop,In-flight meal not included,10844
Jet Airways,18-05-2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,23:05,20-05-2023 04:25,29h 20m,2 stops,No info,15129
IndiGo,12-05-2019,Banglore,Delhi,BLR ? DEL,00:30,03:25,2h 55m,non-stop,No info,3943
SpiceJet,06-06-2019,Delhi,Cochin,DEL ? MAA ? COK,06:05,11:20,5h 15m,1 stop,No info,5583
Multiple carriers,06-06-2019,Delhi,Cochin,DEL ? HYD ? COK,07:05,16:10,9h 5m,1 stop,No info,9646
Multiple carriers,03-06-2019,Delhi,Cochin,DEL ? BOM ? COK,08:30,19:15,10h 45m,1 stop,No info,7677
IndiGo,01-06-2019,Delhi,Cochin,DEL ? BLR ? COK,05:10,10:05,4h 55m,1 stop,No info,6842
Jet Airways,24-06-2019,Mumbai,Hyderabad,BOM ? HYD,08:45,10:15,1h 30m,non-stop,In-flight meal not included,4995
Vistara,09-06-2019,Kolkata,Banglore,CCU ? DEL ? BLR,07:10,18:50,11h 40m,1 stop,No info,9555
IndiGo,01-06-2019,Banglore,Delhi,BLR ? DEL,01:30,04:15,2h 45m,non-stop,No info,4077
Jet Airways,12-05-2019,Banglore,Delhi,BLR ? DEL,15:15,18:10,2h 55m,non-stop,No info,7229
Multiple carriers,09-06-2019,Delhi,Cochin,DEL ? BOM ? COK,09:00,19:00,10h,1 stop,No info,12192
Air India,12-04-2019,Banglore,Delhi,BLR ? DEL,10:00,12:45,2h 45m,non-stop,No info,5911
Air India,12-06-2019,Delhi,Cochin,DEL ? BOM ? COK,09:00,19:15,10h 15m,1 stop,No info,8372
Jet Airways,18-03-2019,Mumbai,Hyderabad,BOM ? HYD,07:10,08:35,1h 25m,non-stop,In-flight meal not included,4995
Multiple carriers,09-05-2019,Delhi,Cochin,DEL ? BOM ? COK,10:00,19:15,9h 15m,1 stop,No info,14323
Jet Airways,09-06-2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,05:30,10-06-2023 04:25,22h 55m,2 stops,No info,13014
Air India,06-06-2019,Delhi,Cochin,DEL ? CCU ? BOM ? COK,14:25,07-06-2023 19:15,28h 50m,2 stops,No info,13591
Jet Airways,03-03-2019,Delhi,Cochin,DEL ? IDR ? BOM ? COK,05:25,04-03-2023 18:50,37h 25m,2 stops,No info,18799
IndiGo,27-04-2019,Banglore,Delhi,BLR ? DEL,23:30,28-04-2023 02:20,2h 50m,non-stop,No info,3943
SpiceJet,21-05-2019,Mumbai,Hyderabad,BOM ? HYD,05:45,07:15,1h 30m,non-stop,No check-in baggage included,1965
Jet Airways,27-05-2019,Mumbai,Hyderabad,BOM ? HYD,10:20,11:50,1h 30m,non-stop,In-flight meal not included,4995
Air India,24-03-2019,Kolkata,Banglore,CCU ? BOM ? BLR,16:50,25-03-2023 18:30,25h 40m,1 stop,No info,14641
Air India,12-04-2019,Kolkata,Banglore,CCU ? BLR,20:45,23:20,2h 35m,non-stop,No info,4460
Air India,18-05-2019,Delhi,Cochin,DEL ? BOM ? COK,13:00,19:15,6h 15m,1 stop,No info,10191
Jet Airways,09-03-2019,Delhi,Cochin,DEL ? BOM ? COK,02:15,19:45,17h 30m,1 stop,In-flight meal not included,13843
IndiGo,01-05-2019,Delhi,Cochin,DEL ? LKO ? COK,21:50,02-05-2023 03:35,5h 45m,1 stop,No info,6349
Air Asia,01-05-2019,Kolkata,Banglore,CCU ? BLR,10:20,12:55,2h 35m,non-stop,No info,4409
Jet Airways,06-03-2019,Delhi,Cochin,DEL ? BOM ? COK,18:15,07-03-2023 19:45,25h 30m,1 stop,No info,17024
Multiple carriers,18-05-2019,Delhi,Cochin,DEL ? BOM ? COK,07:05,21:00,13h 55m,1 stop,No info,13727
IndiGo,15-03-2019,Banglore,New Delhi,BLR ? DEL,18:25,21:20,2h 55m,non-stop,No info,8855
Multiple carriers,24-06-2019,Delhi,Cochin,DEL ? BOM ? COK,08:45,19:00,10h 15m,1 stop,No info,12524
Jet Airways,18-03-2019,Banglore,New Delhi,BLR ? BOM ? DEL,11:40,20:20,8h 40m,1 stop,No info,13555
Jet Airways,06-06-2019,Kolkata,Banglore,CCU ? BOM ? BLR,06:30,12:00,5h 30m,1 stop,In-flight meal not included,10844
Multiple carriers,09-06-2019,Delhi,Cochin,DEL ? BOM ? COK,09:00,21:00,12h,1 stop,No info,13587
SpiceJet,12-06-2019,Chennai,Kolkata,MAA ? CCU,09:45,12:00,2h 15m,non-stop,No check-in baggage included,3543
Vistara,18-03-2019,Chennai,Kolkata,MAA ? CCU,07:05,09:20,2h 15m,non-stop,No info,4842
IndiGo,24-04-2019,Banglore,Delhi,BLR ? DEL,23:30,25-04-2023 02:20,2h 50m,non-stop,No info,3943
Jet Airways,09-06-2019,Delhi,Cochin,DEL ? BOM ? COK,19:15,10-06-2023 04:25,9h 10m,1 stop,In-flight meal not included,10577
IndiGo,15-05-2019,Delhi,Cochin,DEL ? BOM ? COK,10:35,21:00,10h 25m,1 stop,No info,6979
Vistara,27-06-2019,Chennai,Kolkata,MAA ? CCU,17:45,20:05,2h 20m,non-stop,No info,11982
SpiceJet,06-06-2019,Delhi,Cochin,DEL ? PNQ ? COK,08:45,13:15,4h 30m,1 stop,No info,5264
